text,emoji
hello hi greet wave say,👋
happy cheerful joyful delighted,😊
sad unhappy depressed down,😢
angry mad furious upset,😡
love affection romantic heart,❤️
cool awesome fantastic excellent,😎
laughing hilarious funny amused,😂
shocked surprised amazed stunned,😲
excited thrilled pumped energetic,🎉
thinking thinking pondering wondering,🤔
confused puzzled uncertain lost,😕
tired exhausted sleepy fatigued,😴
scared frightened nervous afraid,😨
home house family building,🏠
yes affirmative correct okay,✅
no negative rejection denial,❌
question doubt asking wondering,❓
dog canine pet puppy,🐶
cat feline pet kitten,🐱
bird flying feather wings,🐦
fish swimming water ocean,🐠
pizza food delicious meal,🍕
coffee drink hot morning,☕
ice cream dessert cold sweet,🍦
strawberry fruit red berry,🍓
apple fruit healthy green,🍍
banana yellow fruit tropical,🍌
orange fruit citrus yellow,🍊
sun bright light warm day,☀️
moon night stars darkness,🌙
star twinkle shine bright,⭐
flower blooming beauty nature,🌹
tree plant green nature,🌲
rainbow colors bright after rain,🌈
fire flames hot danger,🔥
car vehicle transport drive,🚗
train railway transport travel,🚂
airplane fly travel journey,✈️
book reading education knowledge,📚
computer technology device work,💻
phone call mobile communication,📱
music sound entertainment song,🎵
movie film watch entertainment,🎬
game play fun entertainment,🎮
heart love emotion feeling,💕
smile happy cheerful face,😄
party celebration fun gathering,🎊
gift present surprise reward,🎁
cake birthday celebration sweet,🎂
light bright illuminate lamp,💡
rocket space travel explore,🚀
clock time watch schedule,⏰
money dollar cash wealth,💰
medal achievement award success,🏅
crown king royal leader,👑
diamond jewel precious valuable,💎
sword weapon fight battle,⚔️
shield protection defend safety,🛡️
dance dancing move music happy,💃
run running exercise fitness active,🏃
swim swimming water sport exercise,🏊
mountain peak height climb tall,⛰️
beach sand shore vacation,🏖️
forest trees nature woodland,🌲
city urban building metropolis,🏙️
hospital health medical doctor,🏥
school education learning student,🏫
church religion faith spiritual,⛪
pizza food italian delicious,🍕
burger hamburger food meat sandwich,🍔
hot dog sausage food meat,🌭
taco mexican food meal,🌮
salad vegetables healthy food,🥗
soup hot food meal broth,🍲
rice grain food meal asian,🍚
pasta spaghetti food italian,🍝
sushi japanese food raw fish,🍣
ramen noodles asian food soup,🍜
chicken food poultry meat cooked,🍗
beef meat steak food dinner,🥩
fish seafood food meal,🐟
egg food breakfast cooked,🥚
cheese dairy food meal,🧀
milk drink dairy white,🥛
bread grain food carbs,🍞
honey sweet golden liquid,🍯
beer alcohol drink beverage,🍺
wine drink alcohol red white,🍷
champagne drink celebrate bubbly,🍾
cocktail drink mixed alcohol,🍸
tea drink hot beverage,🍵
water drink liquid hydration,💧
candy sweet treat chocolate,🍬
chocolate dessert sweet cocoa,🍫
cookie biscuit sweet dessert,🍪
donut pastry sweet fried,🍩
pear fruit green sweet,🍐
peach fruit sweet orange,🍑
cherry fruit red small,🍒
grape fruit purple small,🍇
watermelon fruit large summer,🍉
kiwi fruit green exotic,🥝
mango fruit tropical sweet,🥭
pineapple fruit tropical spiky,🍍
coconut fruit tropical white,🥥
avocado fruit green healthy,🥑
tomato vegetable red fruit,🍅
carrot vegetable orange root,🥕
corn vegetable yellow grain,🌽
cucumber vegetable green fresh,🥒
broccoli vegetable green healthy,🥦
onion vegetable layer pungent,🧅
garlic vegetable flavor pungent,🧄
mushroom fungus food earthy,🍄
potato vegetable starch food,🥔
lettuce vegetable green salad,🥬
pepper vegetable spicy red,🌶️
spinach vegetable green healthy,🥬
peanut legume snack protein,🥜
walnut nut snack healthy,🌰
strawberry fruit red sweet,🍓
blueberry fruit blue small,🫐
blackberry fruit dark purple,🫐
pumpkin vegetable orange squash,🎃
gingerbread cookie food sweet,🍪
candy cane christmas sweet,🍬
christmas tree holiday decoration,🎄
santa claus north pole gift,🎅
snowman winter cold frozen,⛄
snowflake winter ice cold,❄️
lion animal wild big cat,🦁
tiger animal wild striped,🐯
monkey animal primate playful,🐵
elephant animal big trunk,🐘
giraffe animal tall spotted,🦒
penguin animal ice bird,🐧
whale animal ocean marine,🐳
shark animal ocean predator,🦈
bear animal forest strong,🐻
panda animal bamboo cute,🐼
bunny rabbit animal fluffy,🐰
squirrel animal nuts tree,🐿️
fox animal cunning wild,🦊
wolf animal wild howl pack,🐺
zebra animal striped wild,🦓
horse animal ride transport,🐴
cow animal farm milk,🐄
pig animal farm bacon,🐷
sheep animal farm wool,🐑
goat animal farm bleat,🐐
duck animal water quack,🦆
goose animal water honk,🦢
chicken animal farm egg,🐔
rooster animal farm morning,🐓
parrot animal tropical colorful,🦜
peacock animal beautiful colorful,🦚
owl animal night wisdom,🦉
eagle animal powerful predator,🦅
flamingo animal pink tropical,🦩
crocodile animal dangerous swamp,🐊
frog animal water amphibian,🐸
snake animal slither wild,🐍
turtle animal slow reptile,🐢
butterfly insect colorful wings,🦋
bee insect honey pollinator,🐝
ladybug insect spotted small,🐞
ant insect tiny work,🐜
spider insect web eight legs,🕷️
scorpion insect sting dangerous,🦂
dragonfly insect water flying,🐉
robot technology artificial intelligent,🤖
alien extraterrestrial space being,👽
ghost spooky scary supernatural,👻
zombie undead horror scary,🧟
vampire night creature dark,🦇
witch magical spooky halloween,🧙
wizard magical mystical spell,🧙
angel heavenly divine good,😇
demon evil dark negative,👿
superhero hero powerful amazing,🦸
villain evil antagonist bad,🦹
unicorn magical fantasy mythical,🦄
dragon mythical fire fantasy,🐉
phoenix mythical rebirth fire,🔥
mermaid mythical fantasy water,🧜
kraken monster ocean tentacles,🐙
skeleton bones death halloween,💀
mummy ancient wrapped tomb,🪦
scarecrow farm guard straw,👹
jack-o-lantern pumpkin carve halloween,🎃
puzzle game solve fun,🧩
dice game random chance,🎲
cards game playing luck,🎴
chess game strategy intellect,♟️
sports ball game play,⚽
basketball hoop sport game,🏀
football sport game ball,🏈
baseball sport game ball,⚾
tennis sport game racket,🎾
golf sport game hole,⛳
bowling sport game pins,🎱
hockey sport game ice,🏒
volleyball sport game net,🏐
badminton sport game racket,🏸
table tennis sport game,🏓
boxing sport fighter punch,🥊
wrestling sport fighter grapple,🤼
martial arts sport fighting,🥋
karate sport fighting kick,🥋
judo sport fighting throw,🥋
gymnastics sport acrobat flexible,🤸
weight lifting sport strong,🏋️
yoga sport stretch peaceful,🧘
running sport exercise fitness,🏃
walking activity exercise movement,🚶
dancing activity fun movement,💃
skateboarding sport trick ride,🛹
skateboard sport ride trick,🛹
surfing sport water wave,🏄
kayaking sport water paddle,🛶
canoe sport water paddle,🛶
rowing sport water boat,🚣
swimming sport water exercise,🏊
diving sport water jump,🤽
skiing sport winter snow,⛷️
snowboarding sport winter snow,🏂
ice skating sport winter ice,⛸️
climbing sport adventure mountain,🧗
hiking activity walk nature,🥾
archery sport target bow,🏹
fencing sport sword fight,⚔️
horse racing sport equestrian,🐎
cycling sport bike ride,🚴
basketball sport game ball hoop,🏀
soccer sport game ball foot,⚽
football sport game tackle,🏈
tennis sport game racket ball,🎾
golf sport game hole club,⛳
badminton sport game racket,🏸
cricket sport game ball bat,🏏
hockey sport game stick puck,🏒
rugby sport game ball tackle,🏈
american football sport game,🏈
australian football sport game,🏈
baseball sport game ball bat,⚾
softball sport game ball bat,🥎
lacrosse sport game stick ball,🥍
curling sport winter ice,🧊
snowmobile winter transport snow,🚂
snowplowing winter vehicle snow,❄️
sledding winter sport snow,🛷
ice skating winter sport ice,⛸️
cross country skiing winter sport,⛷️
downhill skiing winter sport,⛷️
freestyle skiing winter sport,⛷️
ski jumping winter sport,⛷️
biathlon winter sport skiing,⛷️
luge winter sport sled,🛷
skeleton winter sport sled,🛷
bobsled winter sport sled,🛷
ice hockey winter sport ice,🏒
figure skating winter sport ice,⛸️
speed skating winter sport ice,⛸️
curling winter sport ice,🧊
mixed doubles curling winter sport,🧊
dementia brain health medical,🧠
medicine drug health doctor,💊
hospital health doctor medical,🏥
nurse health medical care,👩‍⚕️
doctor physician health medical,👨‍⚕️
patient sick health medical,🤒
dentist teeth dental health,👁️
toothbrush teeth dental hygiene,🪥
toothpaste teeth dental hygiene,👁️
bandage wound injury medical,🩹
crutches injury support medical,🦽
wheelchair disability accessibility,♿
microscope science research medical,🔬
telescope science astronomy space,🔭
thermometer temperature medical health,🌡️
syringe injection medical doctor,💉
aspirin medicine drug health,💊
eye health vision sight,👁️
ear health hearing listen,👂
nose smell olfactory,👃
mouth speak eat lips,👄
brain think intelligence mind,🧠
heart love emotion feeling,❤️
lungs breathe respiratory health,🫁
stomach digest food belly,🫀
bone skeleton structure support,🦴
muscle strength fitness body,💪
tooth smile dental bite,🦷
tongue taste eat speak,👅
hand grasp hold five fingers,✋
fist punch close hand,✊
thumbs up positive agree like,👍
thumbs down negative disagree dislike,👎
pointing finger direction show,☝️
victory peace sign hand,✌️
vulcan salute spock live long,🖖
call me hand sign phone,🤙
raised hand hello stop greeting,✋
waving hand hello goodbye wave,👋
ok hand sign agreement okay,👌
pinching hand small measure,🤏
writing hand write document,✍️
nail polish beauty manicure,💅
open hands helpful generous,🤲
open hand palm up,✋
crossed fingers hope luck,🤞
love you sign hand,🤟
begging hand prayer please,🙏
metal horns rock on music,🤘
raised fist solidarity power,✊
person shrugging unsure unknown,🤷
person tipping hat respect bow,🎩
person bowing respectful apology,🙇
person facepalming frustrated disappointed,🤦
person shaking head disagreement no,🙅
person raising hand question volunteer,🙋
person clapping applause congrats,👏
person dancing happy celebration,💃
person cartwheeling playful acrobatic,🤸
person juggling skill talent,🤹
person climbing mountain adventure,🧗
person in lotus position yoga,🧘
person getting haircut salon,💇
person getting massage spa,💆
person taking bath tub relax,🛀
person in shower water clean,🚿
person standing still idle,🧍
person kneeling bowing prayer,🙇
child young kid little,👧
boy young male child, 👦
girl young female child,👧
baby infant small young,👶
playing with blocks toy toddler,🧸
person aging elderly old,🧓
person with beard facial hair,👨
person with veil wedding religious,👰
king royal male ruler,👑
queen royal female ruler,👑
princess royal female young,👸
prince royal male young,🤴
woman female human adult,👩
man male human adult,👨
worker occupation job employment,🧑
cook chef kitchen food,👨‍🍳
person with headscarf cultural religious,🧕
police officer law enforcement security,👮
detective investigator private eye,🕵️
guard security protect safety,💂
construction worker builder labor,👷
farmer agriculture farming rural,👨‍🌾
scientist lab research academic,👨‍🔬
technician technical specialist expert,👨‍💼
accountant finance money business,👨‍💼
office worker business corporate,🧑‍💼
mechanic repairs vehicle automotive,👨‍🔧
electrician electricity technical repair,👨‍🔧
plumber pipes water repair,🔧
artist creative painting art,👨‍🎨
musician music instrument entertain,👨‍🎨
teacher education teaching learning,👨‍🏫
professor academic university teaching,👨‍🎓
student learning education academic,👨‍🎓
judge law legal justice,👨‍⚖️
lawyer legal justice attorney,👨‍⚖️
pilot airplane flying aviation,👨‍✈️
astronaut space exploration science,👨‍🚀
sailor ocean water maritime,👨‍🌊
firefighter fire emergency rescue,👨‍🚒
military soldier combat defense,👨‍🎖️
basketball player sport athlete,🏀
football player sport athlete,🏈
baseball player sport athlete,⚾
soccer player sport athlete,⚽
tennis player sport athlete,🎾
volleyball player sport athlete,🏐
skier winter sport athlete,⛷️
snowboarder winter sport athlete,🏂
ice skater winter sport athlete,⛸️
golfer sport athlete,⛳
wrestler grapple combat sport,🤼
gymnast flexible sport acrobat,🤸
swimmer sport athlete water,🏊
rock climber climbing sport athlete,🧗
hiker walking outdoors nature,🥾
cyclist biking sport athlete,🚴
equestrian horse riding sport,🐎
karate athlete martial arts fighter,🥋
runner sport athlete exercise,🏃
person bouncing ball tossing sport,🤹
wheelchair user disabled accessibility,♿
race car driver motorsport,🏎️
drag racer motorsport fast,🚗
person on water bike surfing,🏄
person doing cartwheel acrobat,🤸
person doing splits yoga flexible,🤸
person standing on hands acrobat,🤸
person climbing rock climbing,🧗
person doing handstand acrobat,🤸
person pogo bouncing stick,⤴️
nerd geek intelligent technical,🤓
smirking face sarcastic smug,😏
unamused face disappointed displeased,😒
face with rolling eyes disbelief,🙄
thinking face pondering wondering,🤔
slightly frowning face sad disappointed,🙁
face with tongue playful silly,😝
face savoring food delicious eating,😋
face with open mouth surprised,😲
hushed face shocked surprised fear,😨
frowning face sad unhappy,☹️
anguished face distressed suffering,😧
fearful face scared frightened,😨
weary face tired exhausted,😩
sleepy face tired sleeping,😪
grinning face happy cheerful,😀
grinning face with big eyes happy,😃
grinning face with smiling eyes happy,😄
beaming face with smiling eyes happy,😁
face with tears of joy laughing,😂
rolling on floor laughing hilarious,🤣
joy face laughing happy,😂
slightly smiling face content,🙂
upside down face sarcastic ironic,🙃
melting face hot sick tired,🫠
woozy face sick dizzy,🤢
vomiting face sick gross,🤮
nauseated face gross sick,🤢
sneezing face sick allergies,🤧
vomiting face sick,🤮
mask face sick medical,😷
face with thermometer sick fever,🤒
face with head bandage hurt injured,🤕
sleeping face tired rest,😴
zzz sleeping snoring rest,😴
face in clouds confused lost,😵
exploding head shocked amazed,🤯
dizzy face confused disoriented,😵
zipper mouth face silent quiet,🤐
cowboy hat face western wild,🤠
hugging face friendly warm,🤗
thinking face wonder ponder,🤔
hand over mouth shocked surprise,🤭
shushing face quiet silence,🤫
symbols currency money finance,💰
checkmark success correct yes,✅
cross x negative no wrong,❌
bulb idea bright light,💡
bell notification ring sound,🔔
alarm clock time wake morning,⏰
hourglass time passing sand,⏳
hourglass done time elapsed,⌛
watch time clock wear,⌚
iphone mobile phone device,📱
telephone phone dial call,☎️
mailbox mail postal message,📮
postbox mail postal,📤
postal horn mail,📯
mailbox with mail full,📬
mailbox flag up,📫
mailbox flag down,📪
package box shipping deliver,📦
door entrance exit room,🚪
toilet bathroom hygiene,🚽
bathtub tub clean relax,🛁
shower water spray clean,🚿
bed sleep rest night,🛏️
couch furniture seating relax,🛋️
chair seating furniture sit,🪑
lamp light illuminate bulb,💡
candle light flame glow,🕯️
wastebasket trash bin garbage,🗑️
basket container hold carry,🧺
mirror reflect image glass,🪞
window view glass pane,🪟
bed frame sleep night,🛏️
kitchen stove cooking appliance,🛢️
refrigerator cold food storage,🧊
oven cooking appliance bake,🔥
microwave cook fast heat,⏱️
pot cooking vessel food,🍲
pan cooking vessel fry,🍳
utensil spoon eating silverware,🥄
fork eating utensil silverware,🍴
knife cutting tool silverware,🔪
cutting board prep kitchen,🥘
broom sweeping clean,🧹
basket weaving hold,🧺
sponge clean wash,🧽
fire extinguisher safety emergency,🧯
soap bubble clean wash,🧼
lotion bottle moisturize skincare,🧴
razor shave grooming blade,🪒
toothbrush dental hygiene teeth,🪥
soap clean wash hygiene,🧼
musical note song music,🎵
notes music melody,🎶
sheet music compose musical,🎼
musical keyboard piano synth,⌨️
drum percussion instrument,🥁
guitar string instrument,🎸
violin string instrument,🎻
trumpet brass instrument,🎺
saxophone wind instrument,🎷
flute wind instrument,🪈
bell percussion ring,🔔
microphone sing voice vocal,🎤
microphone boom podcast record,🎙️
control knobs adjust volume,🎚️
slide controls adjust volume,🎛️
camera photo picture image,📷
camera with flash photo bright,📸
video camera film movie,📹
movie clapper film production,🎬
television show screen watch,📺
radio hear broadcast audio,📻
pager bleep message,📟
telephone receiver vintage call,☎️
fax fax paper document,📠
minidisc disc storage media,💿
dvd disc storage media,📀
vhs tape vintage video,📼
sound increase volume loud,🔊
sound muted volume quiet,🔇
loud speaker address microphone,📢
megaphone announcement broadcast speak,📣
musical note single song,🎵
musical notes multiple songs,🎶
alarm clock wake morning,⏰
stopwatch time measure,⏱️
timer time measure,⏲️
hourglass time sand,⏳
clock face one oclock,🕐
clock face two oclock,🕑
clock face three oclock,🕒
clock face four oclock,🕓
clock face five oclock,🕔
clock face six oclock,🕕
clock face seven oclock,🕖
clock face eight oclock,🕗
clock face nine oclock,🕘
clock face ten oclock,🕙
clock face eleven oclock,🕚
clock face twelve oclock,🕛
sunrise morning dawn new day,🌅
sunset evening dusk end day,🌆
rainbow colorful spectrum weather,🌈
ocean wave water sea,🌊
volcano eruption fire mountain,🌋
mount fuji iconic mountain,🗻
camping tent outdoor camping,⛺
fire flames hot heat,🔥
flashlight light beam illuminate,🔦
lantern light glow camping,🏮
moon night stars sleep,🌙
star twinkle shine bright,⭐
sparkles shine glow bright,✨
zap lightning electric bolt,⚡
cloud weather sky gray,☁️
sunny bright warm clear,☀️
moon night darkness rest,🌙
umbrella rain protection weather,☔
snowman winter cold frozen,⛄
snowflake winter ice cold,❄️
comet asteroid space,☄️
rainbow colorful weather sunny,🌈
closed umbrella rain shield,🌂
umbrella on ground rain,☔
droplet water rain liquid,💧
sweat droplet liquid effort,💦
ocean wave water sea,🌊
green heart love nature,💚
blue heart love cold,💙
purple heart love spiritual,💜
yellow heart love happy,💛
orange heart love warm,🧡
red heart love passion,❤️
broken heart sad unhappy,💔
orange heart love warm,🧡
fire flames hot passion,🔥
star twinkle shine bright,⭐
sparkle shine glow bright,✨
diamond precious jewel valuable,💎
gem precious stone valuable,💎
pearl gem valuable precious,🔱
skull death danger skeleton,💀
coffin death funeral grave,⚰️
cross religion faith spiritual,✝️
star of david jewish religion,🔯
wheel of dharma buddhism,☸️
yin yang balance eastern,☯️
om symbol hinduism,🕉️
peace symbol peace love,☬
menorah jewish religion,🕎
torii shinto religion,⛩️
ophiuchus zodiac sign,⛎
aries zodiac sign,♈
taurus zodiac sign,♉
gemini zodiac sign,♊
cancer zodiac sign,♋
leo zodiac sign,♌
virgo zodiac sign,♍
libra zodiac sign,♎
scorpio zodiac sign,♏
sagittarius zodiac sign,♐
capricorn zodiac sign,♑
aquarius zodiac sign,♒
pisces zodiac sign,♓
id badge identification card,🏷️
copyright symbol property rights,©️
registered trademark symbol,®️
trade mark symbol,™️
label sticker badge tag,🔖
heavy large plus symbol,➕
heavy large minus symbol,➖
heavy large division symbol,➗
heavy large multiplication symbol,✖️
heavy large equals symbol,🟰
heavy large less than symbol,<
heavy large greater than symbol,>
question mark inquire ask help,❓
white question mark,❔
exclamation mark emphasize point,❗
white exclamation mark,❕
wavy dash squiggle punctuation,〰️
copyright symbol property,©️
registered trade mark symbol,®️
trade mark registered,™️
Hello,👋
Good morning,🌅😊
Thank you,🙏❤️
Please help me,🆘🙏
I need water,💧🙏
I am hungry,😋🍔
I want food,🍔😋
I need medicine,💊🙏
I need hospital,🏥🙏
I am in pain,😣
I am tired,😴
I want to go home,🏠➡️
Yes,👍
No,👎
I am okay,👌😊
Call my family,📞👨‍👩‍👧‍👦